x,y
25.29267306417397,21.76031171347646
28.496491328840342,23.016235179791146
27.85795880613566,21.173972919257338
31.165471128621697,20.95549484441478
26.062506416385357,25.38223710485295
25.028129306418975,24.86489836248813
15.77697561624027,34.39890295112204
12.9054387887603,15.140411740637353
29.56822884747955,28.754350588769356
24.372593525377507,21.607199193508695
27.569862982668283,33.52285031680182
14.532250065841154,31.394362970926867
22.8262134131943,23.00211555547886
26.20813043851491,31.411269349117795
23.91506386139209,31.750705103471528
22.38212401564026,19.66521566030849
21.74880943503876,19.700627800958078
24.09407809799943,15.181304632205117
24.998365853691286,24.29660016292481
28.99918675136751,24.790472418817608
27.04578993635735,32.81806798740923
19.60045171603472,23.9841302521251
27.847204310060384,23.68050391818824
28.68632232173318,25.990933452402647
27.337812259362195,35.30989872948173
24.85320401638584,29.951744351318457
21.002778536832732,21.656775873891114
21.20275628628967,16.655950209201826
30.705144815535007,23.878943568160945
24.024928030793525,24.0968694218521
26.100423543890585,17.91235609921342
23.1473905470698,22.488639594278542
28.55662280599535,26.67084324777986
19.413517852443825,30.247616761085737
26.28063905570257,26.772992475623
17.375987348501113,24.215564130537643
28.97014930529561,30.58020965083968
24.098713350152657,25.023587878690925
19.33663557446443,27.169231233516115
25.67462665164886,31.236784466665412
33.4132588948375,27.260657854501055
31.133062136079865,28.332850881026825
26.51322068611293,23.059016503941493
21.78278419519129,26.719024297761184
21.27598889685819,25.33404437232759
28.92390248237934,26.772253053810044
27.59000028823894,23.1260086983231
20.998919545550354,22.77742192577854
38.35391389612096,18.04741192543583
21.008303355127037,28.7764866407463
22.44277463285959,27.162631605424473
18.950343154568174,23.944703150904548
29.08714754892103,21.88219259169338
24.470131981225695,23.755879416356287
25.257731163232524,34.28794640158178
23.507661120383002,33.18199858082174
29.002478962539833,18.618373365242014
23.4413965493349,16.57368046737383
23.630075657783344,22.31060270554929
18.1194629993709,31.15123186880147
26.7541381697977,21.967042519611887
34.18705600772441,26.492825113494916
27.559676102345364,22.712141444102244
25.15164564120077,38.602705891222186
22.914327967167484,32.20785333347273
35.9134165071428,23.240109582708723
20.157336733972244,31.669408561700962
25.033139946686802,22.28586719432355
23.69237800074767,25.117095851419887
26.720258851576734,28.121697074101313
25.121877956138146,30.387033583374414
24.378987368309375,22.533480267397884
29.55094058277939,18.951383203620093
41.29322259475916,31.889598514461525
26.949972756862593,26.996763497694744
31.689929671485643,23.912900577044073
22.055132886732192,22.2534195605964
12.203393397777884,31.822092762043606
20.889752311053506,20.512116640122844
20.158579425561378,22.007988406102243
25.92841436311265,19.58908626631026
21.207826764594795,31.550382876193552
20.11150727079795,19.661614791738664
27.664092474985196,24.412834387716938
30.91755895240584,21.758084372872418
18.645015044253928,31.52912060717192
